enter_deep_velocity,rotate_velocity,align_angle,avoid_distance,fwd_velocity,fwd_steps,enter_velocity,nb_steps,Evaluations,convergence(%),pvalues
922.051,18.103,0.5,0.074,8.513,5,235.648,179,"[500, 500, 500, 500, 500, 294, 500, 500, 285, 500, 500, 228, 414, 349, 500, 358, 500, 500, 500, 214]",35.0,"['-', 9.277956784594506e-05, 0.01860472501001714, 0.11049878401993231, 0.003966238640223918, 0.2559131501098182, 0.001227183033996389, 6.610446488702155e-05, 5.566702833736114e-05, 0.00028928371617217385]"
1000,22.218,0.469,0.01,11.427,13.122,53.157,212,"[179, 237, 241, 196, 260, 394, 178, 188, 239, 268, 222, 301, 330, 427, 251, 276, 278, 326, 201, 500]",95.0,"[9.277956784594506e-05, '-', 0.6948910198677665, 0.27925094536873785, 0.21840551261012597, 5.607514411947966e-07, 0.9138367624408553, 0.061977574433805, 0.9138367624408553, 0.14784658271436188]"
969.193,20.558,0.451,0.1,12.195,15.985,235.02,157,"[500, 500, 192, 227, 159, 500, 173, 500, 144, 178, 148, 158, 176, 151, 500, 500, 315, 500, 202, 500]",60.0,"[0.01860472501001714, 0.6948910198677665, '-', 0.3039952778179398, 0.42488347368209856, 0.00490497196539969, 0.9892089047911196, 0.5885063552717107, 0.7867749320074033, 0.6849253186565316]"
283.95,30,0.5,0.1,8.294,7.156,500,160,"[163, 184, 261, 194, 500, 208, 500, 500, 500, 223, 287, 198, 139, 500, 500, 500, 500, 171, 500, 500]",50.0,"[0.11049878401993231, 0.27925094536873785, 0.3039952778179398, '-', 0.7149798814655983, 0.030463802722688817, 0.20845355458876536, 0.05146207608338067, 0.3234817459216911, 0.06389223492711604]"
487,15,0.266,0.043,6,15,472,180,"[481, 310, 294, 176, 500, 201, 300, 369, 198, 237, 253, 203, 238, 367, 297, 500, 375, 402, 500, 214]",85.0,"[0.003966238640223918, 0.21840551261012597, 0.42488347368209856, 0.7149798814655983, '-', 2.445040783934004e-05, 0.3234817459216911, 0.009786486727077014, 0.1805773768084653, 0.03486637192888892]"
932.934,19.733,0.325,0.041,7.79,30,417.948,165,"[500, 451, 500, 500, 500, 500, 500, 500, 500, 500, 395, 366, 497, 500, 500, 500, 500, 500, 500, 500]",20.0,"[0.2559131501098182, 5.607514411947966e-07, 0.00490497196539969, 0.030463802722688817, 2.445040783934004e-05, '-', 1.9207108512994557e-05, 9.15545783239678e-06, 8.512328416895721e-08, 4.41597598995539e-05]"
349.262,20.494,0.391,0.1,15,13.663,218.724,158,"[197, 408, 500, 316, 197, 318, 197, 151, 171, 392, 308, 353, 161, 500, 500, 196, 295, 167, 494, 170]",85.0,"[0.001227183033996389, 0.9138367624408553, 0.9892089047911196, 0.20845355458876536, 0.3234817459216911, 1.9207108512994557e-05, '-', 0.23932370336933684, 0.8076561934993387, 0.42488347368209856]"
972.113,25.272,0.5,0.1,9.731,8.174,378.819,162,"[153, 199, 161, 236, 202, 305, 500, 187, 500, 162, 284, 186, 210, 140, 152, 233, 245, 500, 178, 197]",85.0,"[6.610446488702155e-05, 0.061977574433805, 0.5885063552717107, 0.05146207608338067, 0.009786486727077014, 9.15545783239678e-06, 0.23932370336933684, '-', 0.04986369021054049, 0.9138367624408553]"
961.799,19.527,0.269,0.02,4.316,10.395,228.463,157,"[327, 231, 272, 234, 286, 324, 266, 223, 276, 140, 248, 360, 230, 357, 274, 231, 405, 237, 274, 180]",100.0,"[5.566702833736114e-05, 0.9138367624408553, 0.7867749320074033, 0.3234817459216911, 0.1805773768084653, 8.512328416895721e-08, 0.8076561934993387, 0.04986369021054049, '-', 0.1231088149584372]"
441.591,17.687,0.392,0.04,4.351,16.412,500,191,"[161, 196, 162, 205, 500, 200, 127, 172, 500, 336, 171, 384, 193, 500, 204, 184, 194, 500, 149, 246]",80.0,"[0.00028928371617217385, 0.14784658271436188, 0.6849253186565316, 0.06389223492711604, 0.03486637192888892, 4.41597598995539e-05, 0.42488347368209856, 0.9138367624408553, 0.1231088149584372, '-']"
