Solution,Evaluations,pvalue
185,"[400, 173, 171, 500, 500, 129, 145, 342, 167, 223, 212, 167, 211, 177, 243, 155, 200, 223, 500, 167]",0.8688301969253137
181,"[191, 175, 234, 218, 243, 160, 299, 166, 197, 182, 244, 207, 298, 203, 191, 145, 252, 241, 235, 258]",0.32175033823889176
167,"[500, 184, 203, 500, 500, 193, 161, 193, 500, 258, 167, 150, 500, 260, 220, 172, 186, 191, 139, 159]",0.3637223273807114
153,"[500, 500, 500, 190, 500, 211, 115, 137, 146, 212, 226, 213, 278, 174, 147, 173, 143, 156, 500, 257]",0.4089613420368744
180,"[129, 258, 500, 133, 179, 269, 171, 158, 196, 189, 165, 177, 193, 346, 226, 168, 500, 241, 236, 500]",0.7411815058736042
163,"[156, 156, 235, 188, 174, 396, 500, 500, 399, 180, 208, 221, 254, 306, 130, 156, 158, 251, 214, 236]",0.4089613420368744
165,"[232, 192, 166, 500, 500, 296, 221, 253, 500, 195, 259, 500, 172, 144, 226, 304, 146, 212, 163, 500]",0.24767626769189333
152,"[195, 500, 199, 500, 323, 208, 500, 150, 129, 165, 209, 500, 200, 500, 217, 240, 214, 500, 382, 165]",0.18644918121998122
130,"[171, 162, 211, 172, 257, 158, 347, 224, 183, 346, 262, 231, 230, 500, 192, 230, 182, 149, 500, 132]",0.09864761042929915
168,"[185, 213, 163, 500, 220, 229, 145, 228, 166, 150, 186, 166, 303, 182, 209, 500, 185, 152, 265, 298]",0.5088828153535194
